도서권수,대출건수,도서관명,년,월
49148.0,169118.0,2.28도서관,2019,1
49400.0,172822.0,2.28도서관,2019,2
49478.0,177571.0,2.28도서관,2019,3
49557.0,180261.0,2.28도서관,2019,4
49807.0,182742.0,2.28도서관,2019,5
49947.0,186169.0,2.28도서관,2019,6
49947.0,190606.0,2.28도서관,2019,7
49947.0,194168.0,2.28도서관,2019,8
49947.0,197298.0,2.28도서관,2019,9
49947.0,199476.0,2.28도서관,2019,10
49947.0,202773.0,2.28도서관,2019,11
52818.0,205653.0,2.28도서관,2019,12
52818.0,208805.0,2.28도서관,2020,1
52818.0,209171.0,2.28도서관,2020,2
52818.0,209171.0,2.28도서관,2020,3
52818.0,209171.0,2.28도서관,2020,4
52818.0,209171.0,2.28도서관,2020,5
52818.0,209171.0,2.28도서관,2020,6
52818.0,209171.0,2.28도서관,2020,7
52818.0,209171.0,2.28도서관,2020,8
52818.0,209171.0,2.28도서관,2020,9
52818.0,209171.0,2.28도서관,2020,10
52818.0,209171.0,2.28도서관,2020,11
52818.0,209171.0,2.28도서관,2020,12
52818.0,209171.0,2.28도서관,2021,1
52818.0,209171.0,2.28도서관,2021,2
51119.0,213605.0,2.28도서관,2021,3
51150.0,214953.0,2.28도서관,2021,4
51428.0,216404.0,2.28도서관,2021,5
51429.0,217277.0,2.28도서관,2021,6
51453.0,219064.0,2.28도서관,2021,7
51495.0,220206.0,2.28도서관,2021,8
51496.0,220491.0,2.28도서관,2021,9
51500.0,223036.0,2.28도서관,2021,10
52057.0,224226.0,2.28도서관,2021,11
52058.0,225602.0,2.28도서관,2021,12
52070.0,227675.0,2.28도서관,2022,1
52162.0,228648.0,2.28도서관,2022,2
52228.0,230499.0,2.28도서관,2022,3
52245.0,231693.0,2.28도서관,2022,4
52259.0,232592.0,2.28도서관,2022,5
52293.0,233525.0,2.28도서관,2022,6
52297.0,234929.0,2.28도서관,2022,7
52928.0,235980.0,2.28도서관,2022,8
53007.0,237157.0,2.28도서관,2022,9
53007.0,238199.0,2.28도서관,2022,10
53011.0,239270.0,2.28도서관,2022,11
53018.0,240260.0,2.28도서관,2022,12
53018.0,241227.0,2.28도서관,2023,1
53018.0,242050.0,2.28도서관,2023,2
53019.0,242939.0,2.28도서관,2023,3
53029.0,243718.0,2.28도서관,2023,4
53029.0,244508.0,2.28도서관,2023,5
53029.0,245300.0,2.28도서관,2023,6
53029.0,246398.0,2.28도서관,2023,7
53076.0,247436.0,2.28도서관,2023,8
53135.0,248206.0,2.28도서관,2023,9
53136.0,248884.0,2.28도서관,2023,10
54238.0,249585.0,2.28도서관,2023,11
55966.0,250709.0,2.28도서관,2023,12
55966.0,252099.0,2.28도서관,2024,1
56338.0,253087.0,2.28도서관,2024,2
56338.0,254124.0,2.28도서관,2024,3
56338.0,255073.0,2.28도서관,2024,4
56346.0,255647.0,2.28도서관,2024,5
56632.0,256699.0,2.28도서관,2024,6
56632.0,257897.0,2.28도서관,2024,7
56634.0,259141.0,2.28도서관,2024,8
56634.0,260017.0,2.28도서관,2024,9
56659.0,260849.0,2.28도서관,2024,10
56660.0,261633.0,2.28도서관,2024,11
57899.0,262718.0,2.28도서관,2024,12
57902.0,263926.0,2.28도서관,2025,1
57902.0,265088.0,2.28도서관,2025,2
57954.0,266125.0,2.28도서관,2025,3
57957.0,267388.0,2.28도서관,2025,4
